ID,probability
TEST_00000,0.052819674952038445
TEST_00001,0.04940551937844799
TEST_00002,0.3344249627637516
TEST_00003,0.2673898151093666
TEST_00004,0.6524174717908026
TEST_00005,0.2972903693683812
TEST_00006,0.6923606150747295
TEST_00007,0.5761791830758283
TEST_00008,0.5409831246082818
TEST_00009,0.04343442667171947
TEST_00010,0.16741636356656792
TEST_00011,0.6599004536627671
TEST_00012,0.5615172079830957
TEST_00013,0.6324933770249059
TEST_00014,0.5307374139676793
TEST_00015,0.04732641880469104
TEST_00016,0.4786006099702475
TEST_00017,0.6086325139622852
TEST_00018,0.4381236903415247
TEST_00019,0.741580905324434
TEST_00020,0.5083210438897321
TEST_00021,0.619992240342813
TEST_00022,0.518865510540269
TEST_00023,0.40602455489539124
TEST_00024,0.6129038840421615
TEST_00025,0.04336055937892356
TEST_00026,0.3294140469016999
TEST_00027,0.6439837538038314
TEST_00028,0.3721859687309006
TEST_00029,0.37091269316134057
TEST_00030,0.640588024463664
TEST_00031,0.39905955935967563
TEST_00032,0.35600976502385173
TEST_00033,0.37579259591932246
TEST_00034,0.5922033987270715
TEST_00035,0.056552530669629265
TEST_00036,0.31231799912165603
TEST_00037,0.5597609197778204
TEST_00038,0.43198428459026283
TEST_00039,0.05220400386851971
TEST_00040,0.3999417724513858
TEST_00041,0.3641607994522241
TEST_00042,0.5154052116201835
TEST_00043,0.5147429680581228
TEST_00044,0.5355176515695658
TEST_00045,0.6785886432468491
TEST_00046,0.6984184843904264
TEST_00047,0.4267125851638398
TEST_00048,0.32290210398303454
TEST_00049,0.597161298770857
TEST_00050,0.5064628481996515
TEST_00051,0.39298951169298446
TEST_00052,0.27811317668849805
TEST_00053,0.6968256445824375
TEST_00054,0.046752365717181
TEST_00055,0.6395969005987177
TEST_00056,0.5461254499516663
TEST_00057,0.4235924983044076
TEST_00058,0.7175615568129452
TEST_00059,0.39368470019041485
TEST_00060,0.04483087596280838
TEST_00061,0.35303977333023323
TEST_00062,0.5354555460504197
TEST_00063,0.564106277650992
TEST_00064,0.42698530051387423
TEST_00065,0.04350787840047245
TEST_00066,0.5075738510396299
TEST_00067,0.43691137238079625
TEST_00068,0.4866689782269858
TEST_00069,0.7078915347985411
