ID,probability
TEST_00000,0.003998949565964692
TEST_00001,0.0033503929706641578
TEST_00002,0.3230284921749404
TEST_00003,0.24720763640499616
TEST_00004,0.733433497041289
TEST_00005,0.2943939930217368
TEST_00006,0.7017041963512861
TEST_00007,0.6064144542497623
TEST_00008,0.4944712568798949
TEST_00009,0.0017765930236467973
TEST_00010,0.11864402397191132
TEST_00011,0.7116282075873576
TEST_00012,0.6319103235962553
TEST_00013,0.6685003321250509
TEST_00014,0.5484884794655199
TEST_00015,0.004139001101239093
TEST_00016,0.4530326624042733
TEST_00017,0.6211023790026862
TEST_00018,0.40475056396621173
TEST_00019,0.8296280430261311
TEST_00020,0.49452327682619157
TEST_00021,0.6454231480687221
TEST_00022,0.5163929056098759
TEST_00023,0.4296088636887497
TEST_00024,0.6621714218656299
TEST_00025,0.0018095279964666258
TEST_00026,0.2894334854680675
TEST_00027,0.6771246331976515
TEST_00028,0.3964592713885431
TEST_00029,0.3859742221404024
TEST_00030,0.6920584090583608
TEST_00031,0.40817707293069233
TEST_00032,0.3438696882209474
TEST_00033,0.36971482269160716
TEST_00034,0.6407939848656592
TEST_00035,0.0039550962239564835
TEST_00036,0.28548823168397
TEST_00037,0.5794643500116018
TEST_00038,0.4147761738087561
TEST_00039,0.008046889151801372
TEST_00040,0.40750279736902634
TEST_00041,0.3297335675975662
TEST_00042,0.5516448557153102
TEST_00043,0.55795142142189
TEST_00044,0.5766271437713602
TEST_00045,0.7383124874504885
TEST_00046,0.7691469907399471
TEST_00047,0.4612655512842102
TEST_00048,0.29046516791341087
TEST_00049,0.653477668694435
TEST_00050,0.5043905142836431
TEST_00051,0.360539562641781
TEST_00052,0.25230069519974013
TEST_00053,0.7803503727659051
TEST_00054,0.0034551515287028554
TEST_00055,0.6872125325343167
TEST_00056,0.5637260740577089
TEST_00057,0.4429546711012306
TEST_00058,0.7496197615966973
TEST_00059,0.38734195202981414
TEST_00060,0.002276262666420044
TEST_00061,0.3514859980817386
TEST_00062,0.5838682162142965
TEST_00063,0.5890142838262782
TEST_00064,0.46517923658053356
TEST_00065,0.0034735047300437963
TEST_00066,0.5010333921306286
TEST_00067,0.4093127705694147
TEST_00068,0.5349884843540503
TEST_00069,0.7229237267754776
TEST_00070,0.6318547249182861
TEST_00071,0.6183560715596518
TEST_00072,0.4592018733611828
TEST_00073,0.4906852077386352
TEST_00074,0.318713545765871
TEST_00075,0.5033189592940994
TEST_00076,0.04057107621826741
TEST_00077,0.003298447261369736
TEST_00078,0.27899523379536356
TEST_00079,0.43259012283406667
TEST_00080,0.6100789266504181
TEST_00081,0.0010817589063854402
TEST_00082,0.4139830008391493
TEST_00083,0.3907626758834739
TEST_00084,0.6924448476250237
TEST_00085,0.6429906367215292
TEST_00086,0.001662824769573067
TEST_00087,0.643920649324393
TEST_00088,0.28280445745822946
TEST_00089,0.639928036277849
TEST_00090,0.4869240562519424
TEST_00091,0.22949835342228564
TEST_00092,0.62673066980419
TEST_00093,0.7664470939509318
TEST_00094,0.0015507291159417057
TEST_00095,0.0018344820527204915
TEST_00096,0.7043433129709477
TEST_00097,0.25715690110894535
TEST_00098,0.6297022691391692
TEST_00099,0.5362420369865508
TEST_00100,0.259230510837574
TEST_00101,0.4026121153681396
TEST_00102,0.6337217388986722
TEST_00103,0.5357901991777326
TEST_00104,0.6303415065146716
TEST_00105,0.7203228158078313
TEST_00106,0.5246326303366808
TEST_00107,0.00589076593194009
TEST_00108,0.5808030350815907
TEST_00109,0.003672643475135895
TEST_00110,0.6756281608091762
TEST_00111,0.672693243947107
TEST_00112,0.04393498437861734
TEST_00113,0.6207802707985992
TEST_00114,0.37580921907217285
TEST_00115,0.6588454135079055
TEST_00116,0.0017631871655480835
TEST_00117,0.6974934999391214
TEST_00118,0.594275925253483
TEST_00119,0.34285692985812266
TEST_00120,0.0032407206016946515
TEST_00121,0.004517164297001528
TEST_00122,0.5692299133551441
TEST_00123,0.7532788995056114
TEST_00124,0.6654242506905658
TEST_00125,0.5537828918923623
TEST_00126,0.003496975074317802
TEST_00127,0.159556125059945
TEST_00128,0.5040021926487737
TEST_00129,0.6585414469468398
TEST_00130,0.4419256775333937
TEST_00131,0.6514798049077961
TEST_00132,0.0030858401394160207
TEST_00133,0.5072155040976375
TEST_00134,0.6343462245547261
TEST_00135,0.004191874657156768
TEST_00136,0.39148985489348437
