ID,probability
TEST_00000,0.004716923306734298
TEST_00001,0.003862763696539393
TEST_00002,0.3236365067318667
TEST_00003,0.24527769949181988
TEST_00004,0.7375000482882481
TEST_00005,0.2922787475426132
TEST_00006,0.7029839552434299
TEST_00007,0.6096075336409702
TEST_00008,0.5031802102558456
TEST_00009,0.00190878653263447
TEST_00010,0.11887762514013438
TEST_00011,0.7121731927881112
TEST_00012,0.626515066087937
TEST_00013,0.6709643325157508
TEST_00014,0.5503054334760522
TEST_00015,0.0037765595697700364
TEST_00016,0.45461248566412493
TEST_00017,0.6277353228798708
TEST_00018,0.40600722368239606
TEST_00019,0.828419707844221
TEST_00020,0.4973542406749243
TEST_00021,0.6462305469627768
TEST_00022,0.5156575717371277
TEST_00023,0.4350263925901426
TEST_00024,0.6613311528191007
TEST_00025,0.0019518639141718266
TEST_00026,0.2920463982767716
TEST_00027,0.6827076297572584
TEST_00028,0.39830529259001063
TEST_00029,0.38566671248968243
TEST_00030,0.6922726106869984
TEST_00031,0.4107530176151911
TEST_00032,0.3433208028919835
TEST_00033,0.3719679578030224
TEST_00034,0.6441364790703437
TEST_00035,0.00422885126860706
TEST_00036,0.2941904871181773
TEST_00037,0.5834207690915411
TEST_00038,0.426468693268819
TEST_00039,0.009188540493887648
TEST_00040,0.40776674436477744
TEST_00041,0.3329764034535423
TEST_00042,0.5486611472292038
TEST_00043,0.5603486687514656
TEST_00044,0.5824881313119074
TEST_00045,0.7351458286963761
TEST_00046,0.7655672460946539
TEST_00047,0.4650548171518576
TEST_00048,0.2913752040776061
TEST_00049,0.6556517352784537
TEST_00050,0.5021941117794009
TEST_00051,0.36154509898839515
TEST_00052,0.2619711656432188
TEST_00053,0.7742234482523719
TEST_00054,0.0034945537335728865
TEST_00055,0.6862636493484353
TEST_00056,0.5557902561245933
TEST_00057,0.4451081048829156
TEST_00058,0.7493477352972695
TEST_00059,0.39419093225265983
TEST_00060,0.0020219684029268424
TEST_00061,0.352986891678244
TEST_00062,0.5881254160849344
TEST_00063,0.5914827736420661
TEST_00064,0.46224031737331894
TEST_00065,0.00330152006469039
TEST_00066,0.5031556924596249
TEST_00067,0.41844422816563553
TEST_00068,0.5359049580656653
TEST_00069,0.7216782008061977
TEST_00070,0.6349820956511685
TEST_00071,0.6129077421638347
TEST_00072,0.46070140997620374
TEST_00073,0.4931066314369546
TEST_00074,0.3207290558945265
TEST_00075,0.5064776717218628
TEST_00076,0.04248160405529272
TEST_00077,0.003947826536645998
TEST_00078,0.2790797572196225
TEST_00079,0.43227388676030154
TEST_00080,0.6047478206482273
TEST_00081,0.0011662250880458075
TEST_00082,0.416227542889678
TEST_00083,0.39348503433784904
TEST_00084,0.6914662782878013
TEST_00085,0.6409573530576359
TEST_00086,0.0017821462854977364
TEST_00087,0.6412938787135581
TEST_00088,0.2826011166187953
TEST_00089,0.6426813585021184
TEST_00090,0.48909220013675203
TEST_00091,0.23224567355341572
TEST_00092,0.6291179424977662
TEST_00093,0.7627218369415601
TEST_00094,0.0017463467875833926
TEST_00095,0.002024256515443857
TEST_00096,0.7026285777300377
TEST_00097,0.25739220195871837
TEST_00098,0.6300096125845405
TEST_00099,0.5313765628719586
TEST_00100,0.2660689919022543
TEST_00101,0.40039002482996006
TEST_00102,0.6353035829674204
TEST_00103,0.537057468110559
TEST_00104,0.6302544232754783
TEST_00105,0.7172593021165579
TEST_00106,0.5211064601072334
TEST_00107,0.006366734210705367
TEST_00108,0.5819634494925016
TEST_00109,0.003926656967916515
TEST_00110,0.6704061446924799
TEST_00111,0.6608260111082095
TEST_00112,0.04638491362119027
TEST_00113,0.6247980416524412
TEST_00114,0.3680231612887805
